Sr No.,Utterance,Speaker,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
254,"Okay. Honey, I would love for you to go with me.  What?",Rachel,positive,24,7,3,14,"00:11:11,379","00:11:15,256"
257,"I know, it was amazing! I mean, we totally nailed it, it was beautiful.",Joey,positive,25,1,4,4,"00:20:40,572","00:20:44,075"
263,Okay.,Joey,neutral,25,7,4,4,"0:21:08,100","0:21:08,742"
264,: Yeah.,Mr. Treeger,neutral,25,8,4,4,"0:21:08,742","0:21:09,402"
268,": Yeah, you could dance real good with her, she’s the same size as me.",Mr. Treeger,neutral,25,12,4,4,"00:21:22,364","00:21:24,991"
273,Who knows?,Joey,neutral,26,3,5,18,"00:09:51,882","00:09:53,508"
276,Oh this is great! I might actually get to play Ben's dad!,Joey,positive,26,6,5,18,"00:10:15,281","00:10:17,824"
277,Yeah!,Ross,positive,26,7,5,18,"00:10:17,824","00:10:18,743"
280,So it'll be either you two  or you two.,The Casting Director,neutral,26,10,5,18,"00:10:25,833","00:10:28,585"
281,"Man, this is gonna be kinda weird.",Joey,negative,26,11,5,18,"00:10:29,920","00:10:35,508"
282,"Yeah, it is.",Ross,neutral,26,12,5,18,"00:10:32,757","00:10:35,508"
283,"No, we-we're gonna be like best friends, that's why it's gonna be weird.",Ross,neutral,26,13,5,18,"00:10:40,514","00:10:44,142"
287,Are you kidding?,Ross,negative,28,1,4,15,"0:19:19,201","0:19:19,673"
298,What?  Why?,Monica,negative,29,4,9,23,"0:08:45,668","0:08:48,470"
306,"Man, that's some",Chandler,positive,29,12,9,23,"00:09:24,146","00:09:26,356"
311,"Of course, of course, Mr. Stevens.",Ross,neutral,30,3,6,21,"00:04:30,812","00:04:33,021"
319,"Umm, but I think if you give me umm, one chance I can, I can change your mind.",Ross,negative,30,11,6,21,"00:04:55,461","00:05:00,799"
338,So what are you gonna do?,Chandler,negative,32,9,1,12,"0:11:34,652","0:11:35,824"
339,You have to tell her!,Ross,positive,32,10,1,12,"0:11:35,824","0:11:36,658"
343,Guys?,Ross,negative,32,14,1,12,"0:11:40,033","0:11:43,147"
356,I never thought I’d be able to do that!,Phoebe,positive,35,3,7,9,"0:21:28,120","0:21:30,342"
358,"Oh hey, don’t thank me, thank yourself. You’re the one who faced her fears and ultimately overcame them.",Ross,positive,35,5,7,9,"00:21:31,456","00:21:37,837"
362,"Hey, both you guys should be up there with me.",Ross,neutral,36,0,4,22,"00:21:05,681","00:21:08,724"
394,And-and-and-and-and the toothpicks?,Joey,negative,37,3,7,19,"00:15:54,078","00:15:56,871"
397,Okay!,Monica,positive,38,2,8,2,"0:20:25,660","0:20:26,370"
401,"Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming.",Ross,negative,38,6,8,2,"00:20:37,611","00:20:45,743"
404,I’ve been looking for this for like a month!,Ross,positive,38,9,8,2,"00:20:54,002","00:20:57,004"
406,Oh my God!,Joey,negative,38,11,8,2,"00:21:10,811","00:21:12,395"
414,"Tasty! I’m really starting to feel like you guys have a history, it’s-it’s nice.",The Director,positive,39,7,3,19,"00:11:23,057","00:11:30,021"
428,Y’know who has a great video camera?,Chandler,neutral,40,2,8,4,"0:04:47,996","0:04:50,008"
437,Hello?   It’s the deli again!,Monica,negative,40,11,8,4,"00:05:16,566","00:05:19,609"
440,Oh come on!!,Rachel,negative,40,14,8,4,"00:05:25,908","00:05:28,118"
452,Then y'haven't. You're burning your tomatoes.,Mr. Tribbiani,neutral,41,11,1,13,"0:05:44,844","0:05:47,514"
456,"Of course, course one of 'em's Ma. What's the matter with you.",Mr. Tribbiani,negative,41,15,1,13,"00:05:58,900","00:06:01,818"
465,No. Nothing.,Rachel,neutral,43,6,3,19,"00:22:03,030","00:22:05,239"
477,"What? Ace is high! Jack, queen, king, ace!",Joey,negative,46,1,4,19,"00:12:43,095","00:12:46,264"
486,Why?!,Joey,neutral,46,10,4,19,"0:13:29,099","0:13:29,767"
490,No they didn’t!,Chandler,positive,46,14,4,19,"00:13:48,285","00:13:49,619"
493,"It's a known fact that women love babies, all right?",Joey,neutral,47,2,2,6,"00:06:16,167","00:06:19,252"
496,"Quick, aim him at that pack o' babes over there.",Joey,neutral,47,5,2,6,"0:06:23,758","0:06:25,730"
531,Ah whatever!,Joey,negative,49,21,6,18,"0:14:03,061","0:14:04,360"
534,Okay!,Joey,positive,50,2,6,21,"0:14:18,816","0:14:19,128"
535,All right.,Joey,neutral,50,3,6,21,"0:14:19,128","0:14:19,414"
542,Ah-ah!!,Joey,negative,50,9,6,21,"0:14:31,956","0:14:33,140"
543,"Okay, that’s why you didn’t want me to touch him right?",Joey,negative,50,10,6,21,"0:14:33,706","0:14:36,292"
567,Okay. Does it have to do with Ross and Rachel?,Monica,neutral,52,6,3,21,"00:13:15,544","00:13:18,922"
572,"No, but let’s come back to that later!",Phoebe,neutral,52,11,3,21,"00:13:28,599","00:13:30,433"
581,No! I came here to tell you something else.  I came here  to tell you I still love you.,Richard,positive,53,8,6,24,"00:21:06,932","00:21:15,481"
582,"One pregnant woman at a time, please! I just want you to be okay.",Joey,negative,54,0,8,10,"00:19:18,574","00:19:27,123"
592,"I mean, you’re my favorite guy in the whole world.",Dina,neutral,54,10,8,10,"00:20:11,418","00:20:14,670"
606,I had a really nice time tonight.,Danny,positive,55,0,5,10,"00:10:50,608","00:10:53,443"
611,Hi!,Rachel,positive,55,5,5,10,"00:11:26,727","00:11:28,061"
613,Like it would help.,Danny,neutral,55,7,5,10,"0:11:31,273","0:11:32,441"
614,You are so bad!,Krista,positive,55,8,5,10,"0:11:32,441","0:11:34,331"
626,"Yeah, I'm fine. I'm just stuck at the bank, in an ATM vestibule.",Jill,neutral,56,3,1,7,"00:02:42,996","00:02:46,874"
628,"I'm fine. No, I'm not alone... I don't know, some guy.",Jill,neutral,56,5,1,7,"00:02:52,380","00:02:57,718"
635,Uh-huh.,Rachel,neutral,58,1,4,13,"0:02:38,575","0:02:39,243"
637,Hey!,Joey,neutral,58,3,4,13,"00:02:43,121","00:02:44,538"
640,If you have the big apartment you have to deal with people coming over all the time.,Monica,neutral,58,6,4,13,"00:02:54,299","00:02:57,467"
648,Nice job.,Doug,positive,59,4,3,24,"0:21:07,901","0:21:08,653"
708,"Well, you-you coulda just turned the cushion over.",Monica,neutral,66,3,3,6,"00:14:36,166","00:14:38,459"
715,"Aww, good.  What?",Phoebe,positive,66,10,3,6,"00:15:06,947","00:15:13,703"
721,"Well, I’m-I’m just glad I could, y’know, help you out.",Ross,neutral,67,3,6,3,"00:08:18,581","00:08:20,957"
725,You just saved me!,Rachel,positive,67,7,6,3,"0:08:34,389","0:08:35,951"
732,"But I should tell you this, this exact same thing happened to my roommate Denise.",Phoebe,neutral,67,14,6,3,"00:09:01,666","00:09:06,586"
751,That's it?,Chandler,negative,69,3,1,5,"00:10:17,783","00:10:18,825"
756,Pretty nice?,Joey,neutral,70,1,4,2,"00:10:14,472","00:10:16,489"
785,"Well, anyway, I got to go change, I’m ah, meeting some of the cast for drinks.",Joey,neutral,73,9,3,21,"00:08:40,478","00:08:43,438"
811,No Rachel! They got here first!,Phoebe,negative,78,2,6,17,"00:21:16,483","00:21:18,150"
816,Oh but look! That’s gonna leave a stain!,Rachel,negative,79,1,6,18,"00:16:28,570","00:16:31,072"
818,Really?,Rachel,positive,79,3,6,18,"0:16:35,828","0:16:36,540"
822,"All right, don’t waste it, I mean its still food.",Joey,neutral,79,7,6,18,"00:16:50,926","00:16:53,803"
834,About what?,Phoebe,neutral,81,5,1,7,"0:11:46,539","0:11:47,381"
838,"Well, he didn't tell me.",Phoebe,neutral,81,9,1,7,"00:11:53,713","00:11:55,213"
854,"Ooh, I think I wanna trade circles.",Phoebe,neutral,82,7,7,22,"00:03:35,965","00:03:38,342"
866,I’m not gonna marry Chandler!,Rachel,negative,84,2,4,20,"00:21:03,929","00:21:05,888"
873,"So Pheebs, what is the book about?",Rachel,neutral,85,2,5,9,"00:06:13,748","00:06:16,291"
890,Yeah.,Ross,negative,87,3,1,5,"0:22:00,075","0:22:00,532"
892,Hi.,Monica,neutral,87,5,1,5,"00:22:08,744","00:22:09,744"
909,There’s nothing to handle.,Rachel,positive,89,7,4,20,"0:09:47,097","0:09:48,219"
934,Said what? Exactly.,Rachel,negative,94,2,4,9,"00:11:45,579","00:11:46,955"
946,And an assistant.,Rachel,neutral,94,14,4,9,"0:12:20,448","0:12:21,491"
956,You-you're the one who's been telling me to get over Ross and move on.,Rachel,negative,95,8,5,3,"00:04:25,348","00:04:29,059"
960,What?,Rachel,positive,95,12,5,3,"0:04:42,407","0:04:44,579"
965,"Oh, it's easy. Yeah, I-I can do it with anything. Watch uh,  Grandma's chicken salad",Joey,neutral,95,17,5,3,"00:05:00,383","00:05:06,763"
969,"Okay, yes, we'll be right, we'll be right down.",Monica,neutral,96,3,1,17,"0:14:08,430","0:14:09,942"
971,Okay. Let’s bring it in.,Monica,neutral,97,0,3,9,"00:04:23,888","00:04:25,514"
1001,Just slice that baby right off!,Ross,negative,100,3,3,23,"0:05:37,212","0:05:39,696"
1018,Oh that’s great! I was hiking along the foothills of Mount Tibidaybo,Ross,positive,103,7,8,4,"00:09:52,925","00:10:01,308"
1031,"Let it go, Ross.",Joey,neutral,107,0,1,3,"00:07:33,578","00:07:35,120"
1051,What problem did you tell him you had?,Chandler,neutral,108,5,8,17,"00:11:56,966","00:12:01,553"
1071,"And then after that, I’m gonna get so drunk, I’m gonna wanna call Janice",Chandler,negative,109,18,4,14,"00:15:15,539","00:15:18,416"
1095,So you’re playing a little,Joey,neutral,111,14,7,1,"00:08:32,762","00:08:52,948"
1108,We- we had our first fight this morning.,Ross,neutral,113,4,1,10,"00:07:51,596","00:07:54,139"
1110,"I said some things that I didn't mean, and he- he threw some faeces...",Ross,neutral,113,6,1,10,"00:08:02,982","00:08:05,192"
1112,"Oh, that'd be great!",Ross,positive,113,8,1,10,"00:08:11,449","00:08:13,450"
1114,"Okay, but if he asks, I'm not going to lie.",Chandler,neutral,113,10,1,10,"00:08:19,957","00:08:23,001"
1123,"Look, it’s like I told you, there’s nothing I can do. You signed for it, Monica Velula Geller.",Jester,neutral,115,2,3,7,"00:21:28,954","00:21:37,837"
1132,"Wow, you ah, you really like all this space stuff, huh?",Ross,positive,116,3,3,10,"00:04:49,956","00:04:54,626"
1152,Why?,Monica,neutral,119,5,5,17,"00:14:56,478","00:14:58,354"
1161,"Rachel, I have not missed one question the whole game. I own this game! Look at my hand.",Monica,positive,120,1,4,12,"00:13:07,661","00:13:13,041"
1182,Okay.,Chandler,neutral,121,6,4,14,"00:12:41,469","00:12:43,011"
1185,"You gotta help me out here, you gotta set me up, you gotta get me back in the game.",Monica,negative,122,1,3,18,"00:06:49,492","00:06:53,120"
1186,"Well, that shouldn’t be a problem. I mean I work in fashion and all I meet are eligible straight men.",Rachel,neutral,122,2,3,18,"00:06:53,287","00:06:57,374"
1193,And the two times we went out were just plain awkward.,Pete,negative,122,9,3,18,"00:07:20,064","00:07:26,111"
1210,I don't have a page.,Chandler,neutral,123,9,9,17,"0:05:29,692","0:05:30,568"
1217,"Ohh. Hey, remember when I ran into this thing  and it kinda knocked me out a little?",Joey,positive,124,5,5,6,"00:10:40,765","00:10:44,392"
1221,You,Joey,neutral,124,9,5,6,"00:10:59,241","00:11:01,326"
1230,Well that’s ambitious.,Emily,neutral,125,6,4,18,"00:02:53,715","00:02:55,924"
1245,Shut up! This place is a hole!,Monica,negative,126,12,4,19,"00:01:33,426","00:01:35,344"
1250,"You’re going to a clinic, and a pyjama store!",Chandler,negative,127,4,4,20,"00:08:21,375","00:08:32,469"
1272,"Wow! Yeah I ah, I gave up a job too.",Joey,negative,129,5,3,22,"00:10:33,174","00:10:37,719"
1285,Great.  You got anything that’s not,Joey,negative,130,3,7,5,"00:06:15,833","00:06:20,587"
1298,Yeah?,Rachel,positive,130,16,7,5,"0:06:57,132","0:06:57,925"
1313,"Oh, yeah, I’m not, I’m not hungry.",Rachel,negative,132,8,3,15,"0:16:30,823","0:16:32,617"
1319,"Yes, hello.",Chandler,neutral,135,1,2,6,"0:13:47,080","0:13:47,872"
1324,"It's white plastic, with a handle, and it fits onto a stroller.",Joey,neutral,135,6,2,6,"00:14:01,966","00:14:04,592"
1328,I’m sorry I’m a little late.,Ross,neutral,136,1,8,12,"00:06:31,391","00:06:33,058"
1350,"And he said, ""Laundry?",Rachel,neutral,138,8,5,12,"0:12:21,741","0:12:23,410"
1369,I think it’s best sir.,Chandler,neutral,141,1,8,5,"00:08:01,606","00:08:04,024"
1380,Oh shoot! I work Monday nights.,Rachel,negative,143,2,3,9,"00:21:56,773","00:21:59,400"
1387,Really?,Tag,positive,144,4,7,5,"0:15:19,919","0:15:20,471"
1403,What kinda stuff?,Monica,positive,145,14,1,20,"00:06:05,031","00:06:07,240"
1416,Well so?,Monica,neutral,146,8,3,14,"0:12:01,053","0:12:01,805"
1423,It's laundry. The thinking through is minimal.,Ross,neutral,147,2,1,5,"00:07:17,103","00:07:20,272"
1451,"Aw, I know all about Kip!",Joey,negative,148,17,1,12,"0:08:16,559","0:08:19,421"
1460,"Aw forget it, it’s from",Ross,neutral,150,1,8,8,"00:11:01,952","00:11:04,663"
1486,"Well, you might try accidentally breaking something valuable of hers, say her-",Paul,neutral,152,5,1,1,"00:10:40,890","00:10:44,392"
1496,"Really, I, no, I think girls night out is a great idea.",Ross,positive,153,1,3,6,"00:09:20,768","00:09:25,146"
1500,"Hey, you’re early.",Phoebe,neutral,153,5,3,6,"00:09:36,659","00:09:37,909"
1523,"I’m good except umm, you still owe me a dance.",Mona,neutral,155,6,8,5,"00:20:49,665","00:20:56,170"
1535,"Oh God… Oh, he’s in there right now?",Rachel,negative,156,5,8,2,"00:14:14,770","00:14:19,816"
1539,Oh Phoebe!,Rachel,positive,156,9,8,2,"0:14:29,785","0:14:30,427"
1569,"Hi, sweetie!",Rachel,positive,160,1,3,14,"0:05:29,714","0:05:30,891"
1579,"Nooo, he?s leaving for a better job.",Rachel,neutral,160,11,3,14,"00:05:59,609","00:06:01,735"
1591,There are?,Joey,positive,163,2,6,25,"0:06:54,747","0:06:55,373"
1602,You did! Oh.... I always figured you just thought I was Monica's geeky older brother.,Ross,positive,164,2,1,1,"00:20:52,084","00:20:58,138"
1608,"Yeah, maybe...",Rachel,positive,164,8,1,1,"00:21:18,235","00:21:21,821"
1619,"You do this, you give me the great advice, and hey listen, I was thinking about what you said yesterday about focusing on one woman, I’m gonna do that.",Joey,positive,165,8,4,7,"00:14:42,673","00:14:50,513"
1622,Or Casey.,Chandler,neutral,165,11,4,7,"0:14:55,895","0:14:56,527"
1629,How ‘bout I fix you two up?,Joey,positive,165,17,4,7,"0:15:07,323","0:15:08,375"
1642,"Yeah Pheebs, come on, you two have completely different styles. Y'know, she’s more.. y'know, and you’re more",Ross,neutral,167,7,3,14,"00:00:38,580","00:00:47,880"
1648,"Yes, hello.",Ross,neutral,168,0,5,24,"0:05:44,177","0:05:45,309"
1653,"No,",Ross,neutral,168,5,5,24,"00:06:00,526","00:06:02,694"
1654,What?! What else did he say?,Rachel,negative,168,6,5,24,"00:06:24,300","00:06:26,134"
1660,"Look, just because some idiot drew on your face doesn't mean you shouldn't have any fun!",Ross,neutral,168,12,5,24,"00:06:47,532","00:06:51,785"
1662,"And besides, hey-hey-hey no one is even gonna",Ross,neutral,168,13,5,24,"00:06:52,036","00:06:54,246"
1663,"Okay, there was",Ross,neutral,168,14,5,24,"00:07:15,017","00:07:17,727"
1683,Hmmm... this is so nice.,Rachel,positive,171,0,1,7,"00:12:24,452","00:12:26,244"
1698,Sincerely.,David,neutral,172,7,9,23,"0:06:29,484","0:06:31,448"
1719,The musician right outside the restaurant...it's kind    of a mood-killer!,3rd Customer,negative,174,6,9,19,"00:06:16,168","00:06:19,463"
1724,"Chandler, here you go, got your traditional Thanksgiving feast, you got your tomato soup, your grilled cheese fixin's, and your family size bag of Funyuns.",Monica,neutral,175,3,1,9,"00:08:01,063","00:08:09,237"
1730,"I have--and I remember this part vividly--a mouthful of pumpkin pie, and this is the moment my parents choose to tell me they're getting divorced.",Chandler,negative,175,9,1,9,"00:08:26,005","00:08:30,091"
1738,Got me.,Ross,positive,176,5,1,8,"0:20:36,129","0:20:37,878"
1750,"Nothing! Phoebe kinda made a mistake. But y’know you do wear that sweater a lot, are you involved in some kind of dare?",Rachel,negative,177,5,8,2,"00:16:27,403","00:16:40,331"
1778,Can he handle the stick?,Policeman,neutral,179,17,7,22,"0:13:55,086","0:13:57,310"
1779,Oh well,Rachel,neutral,179,18,7,22,"0:13:57,419","0:13:58,061"
1815,"All right, I'm just gonna go on the date.",Rachel,neutral,182,13,5,10,"0:07:38,510","0:07:41,102"
1825,"Do I? Thank you, so do you.",Phoebe,neutral,183,6,2,4,"00:10:01,684","00:10:03,810"
1833,I missed you.  I'm gonna get changed.,Duncan,neutral,183,14,2,4,"00:10:29,920","00:10:36,801"
1837,What?,Duncan,neutral,183,18,2,4,"00:10:46,270","00:10:48,980"
1849,Stupid Jane Rogers!!,Joey,negative,184,10,9,20,"00:06:17,281","00:06:19,575"
1851,Kinda have a... a thing for the Days Of Our Life's people.,Joey,neutral,184,12,9,20,"00:06:23,120","00:06:26,290"
1854,You do that every year??,Rachel,negative,184,15,9,20,"00:06:34,048","00:06:36,092"
1858,And last year is that why you sent us to that medieval times    restaurant?,Rachel,negative,184,19,9,20,"00:06:47,103","00:06:50,565"
1872,What did you just say?,Rachel,positive,185,11,1,24,"00:09:14,887","00:09:16,555"
1878,We could have breakfast in bed,Phoebe,positive,186,3,5,21,"0:20:11,168","0:20:12,980"
1882,Um-hmm. Oh wait! This is Bonnie.,Phoebe,positive,187,1,3,24,"00:08:24,170","00:08:27,214"
1885,I can show you an ID if you want?,Bonnie,neutral,187,4,3,24,"00:08:33,095","00:08:36,014"
1889,Well I hope you have fun tonight.,Phoebe,neutral,187,8,3,24,"00:08:47,485","00:08:48,735"
1894,"No you do—y'know what, you’re not gonna suck me into this.",Ross,negative,188,3,4,2,"00:09:40,997","00:09:47,836"
1921,"Y’know, we don’t have to imagine.",Joey,neutral,190,5,7,5,"00:21:40,632","00:21:42,258"
1939,"Smelly cat, smelly cat, what are they feeding you? Smelly cat, smelly cat, it’s not your fault.",Phoebe,neutral,193,0,3,14,"00:13:39,193","00:13:52,914"
1943,"I..., a jingle? No, no-no-no, no.",Phoebe,neutral,193,4,3,14,"00:14:03,092","00:14:05,343"
1971,Won't you dance around with me.,Ross,neutral,196,1,3,4,"00:22:04,406","00:22:06,866"
1977,Joey!,Joey,positive,197,4,5,24,"00:08:37,517","00:08:38,892"
1978,"Oh-ho, yeah. Yeah, the hand guy.",Joey's Hand Twin,neutral,197,5,5,24,"00:08:42,438","00:08:44,731"
1980,All right.,Ross,neutral,197,7,5,24,"00:09:41,956","00:09:43,415"
1982,Pick one.,Rachel,neutral,198,1,6,25,"00:13:15,085","00:13:16,795"
1983,Left!  Thank you.,Phoebe,positive,198,2,6,25,"00:13:15,085","00:13:19,923"
2000,Oh-oh Professor Geller.,Rachel,neutral,199,10,6,19,"00:21:24,700","00:21:28,244"
2014,"Yeah, it kinda grows on you.  Actually, I wanted to finish talking to you about uh, spring vacation.",Ross,neutral,201,1,6,19,"00:07:56,851","00:07:59,311"
2015,Oh good.,Elizabeth,positive,201,2,6,19,"00:10:08,941","00:10:10,650"
2018,It’s-it’s too soon.,Ross,negative,201,5,6,19,"00:10:30,296","00:10:31,463"
2037,‘Cause this is what will happen when you and I have babies!,Monica,neutral,202,14,6,5,"00:17:42,686","00:17:44,687"
2044,It’s not kicking right now. Although we would love to see you do  that again.,Rachel,positive,203,2,8,14,"00:06:35,360","00:06:41,800"
2047,A dreamless sleep.,Joey,neutral,203,5,8,14,"00:06:47,840","00:06:50,360"
2077,"No, you don't.",Susan,neutral,206,8,1,23,"00:08:30,176","00:08:31,343"
2079,Why?,Ross,negative,206,10,1,23,"00:08:32,803","00:08:33,803"
2081,"No, you started it.",Ross,negative,206,12,1,23,"0:08:34,973","0:08:35,487"
2089,Out,Carol,negative,206,18,1,23,"0:08:47,694","0:08:49,225"
2097,He says he was too.,Mischa,neutral,207,7,3,15,"00:14:53,058","00:14:54,225"
2098,Interesting.,Phoebe,neutral,207,8,3,15,"00:14:54,393","00:14:56,311"
2136,"Oh you’re awesome! And, in that last speech? You soaked me.",Richard,positive,210,8,7,23,"00:18:44,957","00:18:48,584"
2140,"So Chandler, your parents must’ve been thrilled when you told them you were engaged.",Mrs. Geller,positive,211,0,7,2,"00:09:26,023","00:09:29,734"
2152,"You tell her Jack, I can’t do it.",Mrs. Geller,negative,211,12,7,2,"0:10:13,154","0:10:14,981"
2154,"We have it. Only now, we call it the beach house.",Mr. Geller,neutral,211,14,7,2,"00:10:17,867","00:10:21,119"
2160,"No. It was painful. Oh my God , they should call it Pain-zine, now with a little wax.",Monica,negative,212,5,3,16,"00:07:44,380","00:07:50,010"
2162,That’s because their nerves are probably deadened from being so stupid.,Monica,negative,212,7,3,16,"00:07:55,683","00:07:58,852"
2177,"David the scientist guy, David that I was in love with, David who went to Russia and broke my heart David!",Phoebe,negative,214,2,7,11,"00:08:49,570","00:08:55,700"
2184,Yeah. Well I-I got like thirty of them.,David,neutral,214,9,7,11,"00:09:22,311","00:09:24,771"
2185,Yeah.,Phoebe,neutral,214,10,7,11,"00:09:24,939","00:09:26,273"
2195,I eat by myself in the alley because everybody hates me.,Monica,negative,218,4,4,11,"00:12:25,661","00:12:29,998"
2202,I’ll see you tomorrow.,Joey,neutral,218,11,4,11,"00:12:52,438","00:12:53,938"
2204,You did look like an idiot.,Chandler,positive,219,0,5,8,"00:06:44,612","00:06:46,780"
2214,"Oh, come on Monica, reliving past pain and getting depressed is what Thanksgiving is all about.",Chandler,neutral,219,9,5,8,"00:07:16,519","00:07:21,648"
2233,"Yes, hi.",Monica,neutral,222,2,8,11,"0:03:44,307","0:03:44,886"
2237,No leg-chewing for us sir.,Monica,neutral,222,6,8,11,"00:03:56,653","00:04:01,365"
2244,"Okay, I’ll see you tomorrow!",Monica,positive,222,13,8,11,"00:04:26,015","00:04:28,058"
2246,I-I cannot spend another evening with that man.,Monica,negative,222,15,8,11,"00:04:32,021","00:04:34,106"
2274,"Ahh, nooo!!",Carol,positive,225,2,3,17,"00:22:02,000","00:22:03,446"
2285,So I’m gonna take off then!,Ross,neutral,225,11,3,17,"00:22:32,517","00:22:34,769"
2290,"Yeah, sure.  All right, whose court is the ball in now?",Rachel,neutral,226,4,5,7,"00:18:41,745","00:18:47,708"
2318,"Well, this has been fun.",Jill,neutral,229,0,1,7,"00:21:42,801","00:21:44,677"
2343,"When we're 40, if neither one of us are married, what do you say you and I get together and have one?",Chandler,neutral,232,2,1,23,"00:05:18,192","00:05:23,613"
2352,Hey.,Rachel,neutral,232,11,1,23,"00:05:47,055","00:05:48,513"
2357,"Well, where is he? He is supposed to be here.  What if the baby needs him?",Rachel,negative,232,16,1,23,"00:06:01,986","00:06:09,159"
2358,"Rachel, what is the deal with you and doctors, anyway? Was, like, your father a doctor?",Chandler,neutral,232,17,1,23,"00:06:09,327","00:06:15,624"
2359,"Yeah, why?",Rachel,neutral,232,18,1,23,"00:06:11,662","00:06:15,624"
2385,"Now you do that, you’re on TV.",Chandler,neutral,235,9,6,10,"00:21:45,178","00:21:48,472"
2395,Oh really? Then how come no one here is wearing them?,Chandler,neutral,236,9,4,23,"00:09:40,663","00:09:44,833"
2397,"All right, look, if you insist on wearing that, in public, y’know, you’re gonna spend the rest of the afternoon all by yourself.",Chandler,negative,236,11,4,23,"00:09:48,087","00:09:55,176"
2405,"And y'know what, I get excited about stupid stuff, like when I my",Monica,neutral,237,3,3,12,"00:16:23,983","00:16:29,070"
2440,"Oh, I should go, too.",Phoebe,neutral,240,5,9,23,"00:04:00,281","00:04:04,868"
2452,"Ok, that'll be great!",Phoebe,positive,241,10,9,22,"00:01:51,194","00:01:54,404"
2466,"All I could think of was y’know, ""Is he gonna kiss me? Is he gonna kiss me?""",Phoebe,positive,245,3,7,18,"00:07:03,131","00:07:06,216"
2474,"No, a guy would be saying, ""I’m never gonna get to sleep with anyone else.""",Monica,negative,245,11,7,18,"00:07:31,451","00:07:35,495"
2475,Oh my God!,Monica,negative,245,12,7,18,"0:07:35,663","0:07:36,581"
2476,I’m never gonna get to sleep with anyone else!,Monica,negative,245,13,7,18,"0:07:36,581","0:07:38,240"
2481,"Oh good, you’re here. Yeah, and I was worried that it was going to be uncomfortable.",Mona,negative,246,1,8,8,"00:17:21,582","00:17:26,377"
2491,Hi everyone.,Ross,neutral,244,0,2,4,"00:11:21,347","00:11:22,972"
2495,"What did, what did he say?",Rachel,negative,244,4,2,4,"00:11:41,409","00:11:43,284"
2509,‘Cause I’m a Tribbiani!,Joey,positive,249,10,8,9,"0:02:40,535","0:02:42,371"
2512,We can eat!,Joey,positive,249,13,8,9,"00:02:50,253","00:02:54,965"
2521,"Y'know what? I cannot do this with my left hand! Would you please, help me with this too?",Rachel,negative,251,0,3,21,"00:11:38,197","00:11:45,328"
2529,Where exactly is your zoo?,Ross,neutral,252,0,1,21,"00:14:10,182","00:14:11,891"
